"","symbol","date","open","high","low","close","volume","adjusted","exg_rate"
"171","S&P_500",2020-09-03,3564.73999,3564.850098,3427.409912,3455.060059,4911830000,3455.060059,1
"172","S&P_500",2020-09-04,3453.600098,3479.149902,3349.629883,3426.959961,4438720000,3426.959961,1
"173","S&P_500",2020-09-08,3371.879883,3379.969971,3329.27002,3331.840088,4694330000,3331.840088,1
"174","S&P_500",2020-09-09,3369.820068,3424.77002,3366.840088,3398.959961,3932520000,3398.959961,1
"175","S&P_500",2020-09-10,3412.560059,3425.550049,3329.25,3339.189941,4208630000,3339.189941,1
"176","S&P_500",2020-09-11,3352.699951,3368.949951,3310.469971,3340.969971,3710090000,3340.969971,1
"177","S&P_500",2020-09-14,3363.560059,3402.929932,3363.560059,3383.540039,3839580000,3383.540039,1
"178","S&P_500",2020-09-15,3407.72998,3419.47998,3389.25,3401.199951,4057190000,3401.199951,1
"179","S&P_500",2020-09-16,3411.22998,3428.919922,3384.449951,3385.48999,4718900000,3385.48999,1
"180","S&P_500",2020-09-17,3346.860107,3375.169922,3328.820068,3357.01001,4379840000,3357.01001,1
"181","S&P_500",2020-09-18,3357.379883,3362.27002,3292.399902,3319.469971,7076400000,3319.469971,1
"182","S&P_500",2020-09-21,3285.570068,3285.570068,3229.100098,3281.060059,4836070000,3281.060059,1
"183","S&P_500",2020-09-22,3295.75,3320.310059,3270.949951,3315.570068,3974510000,3315.570068,1
"184","S&P_500",2020-09-23,3320.110107,3323.350098,3232.570068,3236.919922,4378650000,3236.919922,1
"185","S&P_500",2020-09-24,3226.139893,3278.699951,3209.449951,3246.590088,4601920000,3246.590088,1
"186","S&P_500",2020-09-25,3236.659912,3306.879883,3228.439941,3298.459961,3803330000,3298.459961,1
"187","S&P_500",2020-09-28,3333.899902,3360.73999,3332.909912,3351.600098,3950910000,3351.600098,1
"188","S&P_500",2020-09-29,3350.919922,3357.919922,3327.540039,3335.469971,3661590000,3335.469971,1
"189","S&P_500",2020-09-30,3341.209961,3393.560059,3340.469971,3363,4738640000,3363,1
"190","S&P_500",2020-10-01,3385.870117,3397.179932,3361.389893,3380.800049,4076340000,3380.800049,1
"191","S&P_500",2020-10-02,3338.939941,3369.100098,3323.689941,3348.419922,3975180000,3348.419922,1
"192","S&P_500",2020-10-05,3367.27002,3409.570068,3367.27002,3408.600098,3692720000,3408.600098,1
"193","S&P_500",2020-10-06,3408.73999,3431.560059,3354.540039,3360.969971,4453390000,3360.969971,1
"194","S&P_500",2020-10-07,3384.560059,3426.26001,3384.560059,3419.439941,3814750000,3419.439941,1
"195","S&P_500",2020-10-08,3434.280029,3447.280029,3428.149902,3446.830078,3867640000,3446.830078,1
"196","S&P_500",2020-10-09,3459.669922,3482.340088,3458.070068,3477.139893,3944090000,3477.139893,1
"197","S&P_500",2020-10-12,3500.02002,3549.850098,3499.610107,3534.219971,3435760000,3534.219971,1
"198","S&P_500",2020-10-13,3534.01001,3534.01001,3500.860107,3511.929932,3611100000,3511.929932,1
"199","S&P_500",2020-10-14,3515.469971,3527.939941,3480.550049,3488.669922,3858510000,3488.669922,1
"200","S&P_500",2020-10-15,3453.719971,3489.080078,3440.889893,3483.340088,3724550000,3483.340088,1
"201","S&P_500",2020-10-16,3493.5,3515.76001,3480.449951,3483.810059,4688030000,3483.810059,1
"202","S&P_500",2020-10-19,3493.659912,3502.419922,3419.929932,3426.919922,4091080000,3426.919922,1
"203","S&P_500",2020-10-20,3439.379883,3476.929932,3435.649902,3443.120117,3917850000,3443.120117,1
"204","S&P_500",2020-10-21,3439.909912,3464.860107,3433.060059,3435.560059,4103960000,3435.560059,1
